time,open,high,low,close,MA,MA,MA,MA,MA,Volume,Volume MA
1619136000,51693.98,52131.34,47555,51176.65,57283.89899999996,45233.19867187499,56838.26280000001,58120.962380952435,34552.753999999986,11649.31918465,5065.617311918572
1619222400,51177.77,51227.38,48713.34,50118.94,55997.18399999997,45446.51664062499,56865.85740000001,57790.22523809529,34750.31704999999,3445.13658315,5165.842550083073
1619308800,50126.34,50608.94,47004.2,49128.43,54586.107999999964,45649.58140624999,56870.33340000002,57357.665714285766,34942.61349999999,4167.43570798,5254.092478725572
1619395200,49122.75,54404.78,48823.01,54073.41,53849.82499999997,45885.75656249999,56932.455600000016,57117.11380952387,35158.35454999999,6046.79682802,5420.862427760072
1619481600,54015.32,55519.37,53325.75,55091.39,53355.73499999997,46132.79203124999,56985.72740000001,56977.73714285721,35378.55149999999,4111.12521596,5353.689857755072
1619568000,55094.73,56500,53811.49,54901.97,53217.871999999974,46384.11984374999,56985.18640000001,56928.64857142863,35596.555349999995,4542.50992013,5351.475010834572
1619654400,54898.45,55239.33,52379.9,53593.97,53007.81399999998,46616.61101562499,56940.02000000001,56714.23761904767,35807.66054999999,4172.67670698,5427.076441358071
1619740800,53585.93,58008,53087.15,57775.27,53135.021999999975,46886.35757812499,56940.08360000001,56698.3190476191,36038.85699999999,4809.18204712,5471.6380028620715
1619827200,57790.66,58549,57049.63,57851.91,53539.58899999998,47152.964062499996,56951.70100000001,56607.12761904767,36270.97664999999,2248.55545142,5492.9297529495725
1619913600,57893.01,57967.01,56064.51,56622.66,54033.459999999985,47402.319609374994,56860.8504,56447.28952380957,36496.945749999984,1887.08427188,5401.912143806572
1620000000,56599.91,59000,56500,57222.37,54638.031999999985,47642.60156249999,56824.97,56323.03761904767,36725.50204999999,3636.51735676,5298.254427519571
1620086400,57227.64,57250.85,53080.69,53236.84,54949.821999999986,47853.361249999994,56776.81940000001,55831.24523809529,36935.07694999999,5747.19401914,5285.469451324572
1620172800,53221.75,57976.62,52924.5,57509.93,55787.97199999999,48091.42390624999,56788.851200000005,55570.475714285756,37165.79759999999,5504.55788108,5389.024878129571
1620259200,57517.08,58420.83,55283,56447.39,56025.36999999998,48318.591015624996,56739.763,55247.05666666671,37390.43469999999,5144.23317131,5357.295702365571
1620345600,56425.82,58743.85,55288.11,57381.73,56254.40399999998,48541.25062499999,56734.4366,55053.984761904816,37618.522649999984,4234.70954424,5414.456996699571
1620432000,57371.02,59564.24,56977.5,58984.75,56662.681999999986,48775.56281249999,56752.69159999999,55004.101904761956,37853.84084999999,2928.99345356,4917.413700678071
1620518400,58964.89,59300.62,56256,58305.24,57133.80899999999,49001.364375,56756.02859999999,55100.51333333338,38081.353699999985,2589.62561937,4757.333028533571
1620604800,58336.16,59603,53500,55880.72,56944.35399999998,49186.24085937499,56726.0072,55109.37857142863,38295.840999999986,6589.4271403,4793.610243606572
1620691200,55854.43,56972.33,54500,56763.7,56835.53299999998,49371.130468749994,56779.862799999995,55121.78380952386,38514.95154999999,4203.16906929,4774.855842709572
1620777600,56763.7,58021.26,48530,49386.56,56111.92299999999,49506.91703124999,56680.3626,54911.322857142906,38696.27069999999,6367.35410217,4701.280163725572
1620864000,49419.44,51420.72,45700,49694.96,55359.181999999986,49629.22882812499,56628.511399999996,54816.609047619095,38879.55004999998,9096.38363317,4573.633386151572
1620950400,49711.64,51572,48875.69,49880.43,55023.54099999999,49731.029531249995,56599.597799999996,54754.88428571433,39063.618549999985,4011.0819038,4601.930652184072
1621036800,49883.89,50710.93,46448.53,46708.89,53943.43699999999,49787.26703125,56432.1482,54592.500952381,39228.92349999999,3613.92837843,4574.255285706573
1621123200,46753.4,49800,43769.4,46444.75,52943.17299999999,49832.405156249995,56244.2548,54464.706666666716,39394.773599999986,5750.08326356,4559.419607483573
1621209600,46446.42,46648.5,42100,43593.39,51564.338999999985,49858.610859374996,56000.3042,53965.65809523814,39545.39834999999,12262.72268102,4966.999480736573
1621296000,43581.27,45872.05,42023.69,42877.75,49953.63899999998,49895.36101562499,55705.8572,53384.05619047623,39691.97644999999,6275.91387222,5053.6696783410725
1621382400,42900.85,43601.63,30066,36780.43,47801.15799999998,49905.71140625,55266.25399999999,52521.12571428575,39806.79819999999,32468.86397019,6468.479041501572
1621468800,36793.39,43000,35000,40640.9,46277.175999999985,49957.319843749996,54903.4204,51904.3128571429,39941.192699999985,14703.03041947,6963.171460119073
1621555200,40566.13,42297.89,33520,37335.16,44334.32199999998,49956.864140624995,54475.552999999985,50930.974285714314,40060.04989999999,13106.84060164,7506.085717630073
1621641600,37318.43,38887.99,35260,37500.54,43145.71999999999,49944.09999999999,54045.491799999996,49961.861428571465,40177.34469999999,5720.00562166,7697.731785119073
1621728000,37474.34,38311.74,31107.46,34706.79,41646.902999999984,49928.08609375,53598.3392,48918.24857142861,40280.07569999999,9376.29208573,7984.720521567573
1621814400,34735.35,39960,34426.21,38839.86,40542.84599999998,49950.27249999999,53210.892799999994,48042.89095238099,40396.24979999998,10213.18324641,8208.019982931073
1621900800,38848.36,40000,36486.85,38397.72,39711.728999999985,49970.41679687499,52796.3472,47336.266190476235,40510.24794999998,5765.3472603,8221.059451892073
1621987200,38385.87,40904,37859.74,39309.56,38998.209999999985,49991.45281249999,52422.1724,46469.58190476195,40632.60089999999,4205.61283515,8174.128435084074
1622073600,39299.46,40429.47,37212.9,38503.47,38489.21799999998,50011.654765625,52073.585199999994,45615.10952380957,40747.672499999986,4113.43820958,8168.0648683510735
1622160000,38578.5,38905.12,34710.23,35692.46,37770.688999999984,50013.182499999995,51625.502400000005,44582.287142857196,40849.47459999999,6167.02059154,8329.966225250075
1622246400,35691.36,37348.01,33650,34632.08,37555.853999999985,50042.97859375,51155.9528,43422.636190476245,40946.06674999999,4457.16762006,8423.343325284575
1622332800,34644.09,36516.99,33425,35677.72,37059.535999999986,50063.96031249999,50674.168600000005,42345.13523809529,41045.91589999999,2979.71977699,8242.857957119075
1622419200,35675.3,37540.96,34195.2,37341.41,37060.160999999986,50104.77218749999,50221.4116,41462.31095238101,41151.12294999998,4383.79233382,8251.889120345575
1622505600,37279.89,37927.44,35699.98,36693.3,36979.43699999999,50139.18210937499,49758.644400000005,40506.57761904768,41252.91154999999,4348.7544836,8150.959139417076
1622592000,36693.3,38256.3,35933.19,37589.36,37267.69399999999,50180.808203124994,49239.14199999999,39944.80619047624,41360.42664999999,4270.10341121,7909.6451283190745
1622678400,37585.12,39490,37176.06,39219.88,37305.69599999999,50233.27187499999,48763.81779999999,39445.99285714292,41476.648599999986,4058.94293164,7912.038179711075
1622764800,39242.94,39277.36,35576.67,36887.32,37154.655999999995,50283.76171874999,48236.78039999999,38827.273333333396,41577.46209999998,5786.18608707,8020.651065143075
1622851200,36851.58,37927.93,34849.65,35532.14,36776.91399999999,50299.756015625,47718.6984,38295.047142857205,41666.719649999985,4106.34880652,7938.464342291076
1622937600,35532.59,36510.58,35250,35808.85,36507.452,50311.937343749996,47234.2296,37788.57571428578,41756.83414999999,2526.73361997,7451.664889238576
1623024000,35810.69,36808.3,33321.09,33582.62,36296.46799999999,50306.15312499999,46780.26999999999,37311.87238095245,41835.61989999999,4913.04022502,7383.521206878575
